Tree	-lnL
740	6292.86571798
741	6290.46030891
742	6297.44008440
743	6293.73875885
744	6296.78038636
745	6297.55399965
746	6297.74717163
747	6289.97766307
748	6304.69434635
749	6296.96853736
750	6299.28039225
751	6294.86417067
752	6298.36096455
753	6288.12894488
754	6288.90398906
755	6294.88363077
756	6288.69098613
757	6299.01146960
758	6302.83546261
759	6289.57373643
760	6296.44851861
761	6288.58170070
762	6301.16725770
763	6302.24904079
764	6302.77620776
765	6309.25783649
766	6286.60622794
767	6287.80047163
768	6290.32287658
769	6291.78442460
770	6291.45585554
771	6293.94574493
772	6293.24253023
773	6295.31958728
774	6288.80345894
775	6290.05038308
776	6297.96027416
777	6291.84430376
778	6293.18414271
779	6296.73388420
780	6289.94690128
781	6309.48205103
782	6300.11923445
783	6304.92779314
784	6307.02760617
785	6306.70640555
786	6294.05433534
787	6300.12686302
788	6287.10743902
789	6301.54065650
790	6289.65410061
791	6293.15260761
792	6290.82803836
793	6302.16513129
794	6304.38123499
795	6289.29847319
796	6299.58741433
797	6298.52926232
798	6293.82360883
799	6290.25409223
800	6291.48435083
801	6296.97435955
802	6287.72281963
803	6294.96627845
804	6281.10808378
805	6292.33905608
806	6291.24890473
807	6292.90320792
808	6295.80375523
809	6290.75587436
810	6292.00845918
811	6282.56505822
812	6304.28933520
813	6304.00357053
814	6305.53996542
815	6293.95123993
816	6306.83857907
817	6291.92518476
818	6297.43973195
819	6309.74061991
820	6296.52974613
821	6287.01293682
822	6292.64170935
823	6295.42360764
824	6300.10574242
825	6298.45134733
826	6295.40187652
827	6306.92873111
828	6285.76298004
829	6291.86500767
830	6294.46196227
831	6298.22623868
832	6308.31526736
833	6288.49470117
834	6291.15096025
835	6303.84651974
836	6287.71952859
837	6289.26798422
838	6297.97799752
839	6288.29565001
840	6302.86338335
841	6284.48555772
842	6290.82492495
843	6299.75749984
844	6290.89544100
845	6307.35145028
846	6299.46943811
847	6295.66508472
848	6308.55136362
849	6296.69533854
850	6289.47470136
851	6301.50594011
852	6300.66953126
853	6295.34553736
854	6291.49210848
855	6309.50454022
856	6293.96142940
857	6297.36048879
858	6291.99670731
859	6310.36177957
860	6295.06635560
861	6293.31859410
862	6289.89406460
863	6292.97225891
864	6302.00299018
865	6291.81666781
866	6289.48232351
867	6298.71192602
868	6294.94597994
869	6295.21250217
870	6299.37042111
871	6295.83041358
872	6298.29584239
873	6316.84006993
874	6301.94756076
875	6304.64113901
876	6304.68270005
877	6297.73110223
878	6311.03219247
879	6312.56878645
880	6307.99593468
881	6297.24860184
882	6293.76609258
883	6299.76390126
884	6300.90495793
885	6288.93149584
886	6299.76118904
887	6293.37290164
888	6291.83881054
889	6309.73489453
890	6297.69392605
891	6293.18454528
892	6308.66690878
893	6300.89183885
894	6295.76127226
895	6292.64882157
896	6292.90243512
897	6305.08625774
898	6285.08243428
899	6295.01849109
900	6290.86755607
901	6296.17081308
902	6290.96354777
903	6293.31032911
904	6310.47582341
905	6297.30645550
906	6294.62051879
907	6291.66738655
908	6290.28420670
909	6310.80283780
910	6294.13506825
911	6292.85255180
912	6294.51230509
913	6287.40464710
914	6293.36419031
915	6288.71913113
916	6292.87827843
917	6296.00819471
918	6307.12878248
919	6319.69763008
920	6291.10622785
921	6292.94325477
922	6292.73147774
923	6293.95147305
924	6303.19972506
925	6289.59478866
926	6285.05919608
927	6298.79265610
928	6294.55967696
929	6295.31770917
930	6300.28668652
931	6306.17231927
932	6306.03182298
933	6284.38803287
934	6297.23451617
935	6301.17616497
936	6314.88963109
937	6295.95503062
938	6295.41007665
939	6314.64039649
940	6294.64394057
941	6301.72964958
942	6292.38109189
943	6299.11197721
944	6296.62364251
945	6291.82508288
946	6293.98680792
947	6299.59310595
948	6291.53998247
949	6292.75936091
950	6297.66170802
951	6293.09713185
952	6297.16696583
953	6290.69742398
954	6296.79803609
955	6290.14930344
956	6299.81431517
957	6297.63905225
958	6299.19390570
959	6291.41013893
960	6296.19261267
961	6300.70906608
962	6298.77153723
963	6289.04052389
964	6294.15738324
965	6300.54058865
966	6296.21998200
967	6292.91275411
968	6289.16172012
969	6292.72887009
970	6293.64161801
971	6301.00941350
972	6290.37992662
973	6295.47760854
974	6296.77990596
975	6288.62864384
976	6290.71401617
977	6291.14867109
978	6301.57215520
979	6293.30337076
980	6296.92898683
981	6301.09083233
982	6293.32214011
983	6307.40337138
984	6294.33645275
985	6312.96580145
986	6298.18208430
987	6292.22235969
988	6292.37920882
989	6292.92412756
990	6299.46691054
991	6288.07659280
992	6293.27974198
993	6300.22107038
994	6295.40821291
995	6300.65900793
996	6295.85240799
997	6302.51720829
998	6303.03653794
999	6294.25800490
1000	6297.13434990
1001	6294.08527705
1002	6296.27485896
1003	6293.91451145
1004	6289.09214332
1005	6297.12192224
1006	6296.79061700
1007	6291.38800953
1008	6288.75112222
1009	6288.38710028
1010	6291.37647214
1011	6310.41680787
1012	6287.30450213
1013	6300.72356097
1014	6293.26901833
1015	6295.35168260
1016	6290.33821992
1017	6304.46275278
1018	6301.30665153
1019	6289.71361841
1020	6309.64997727
1021	6288.36951159
1022	6296.41634855
1023	6285.24166071
1024	6297.49794309
1025	6308.78852560
1026	6290.98923644
1027	6299.20553161
1028	6304.51472485
1029	6298.00981288
1030	6306.18064446
1031	6290.59949860
1032	6307.29551244
1033	6285.11671923
1034	6294.09648002
1035	6295.97761991
1036	6289.65881821
1037	6292.72274691
1038	6287.79455168
1039	6295.69109840
1040	6296.16836851
1041	6303.02942584
1042	6295.56671831
1043	6294.62570576
1044	6298.13349186
1045	6290.81424933
1046	6289.93635203
1047	6299.06174733
1048	6302.52381690
1049	6294.80335334
1050	6288.88307420
1051	6290.70152912
1052	6304.73428868
1053	6293.62389472
1054	6299.59843097
1055	6289.57750237
1056	6298.68075179
1057	6325.81210632
1058	6312.08136670
1059	6303.55166012
1060	6290.95395927
1061	6291.55123367
1062	6308.22244513
1063	6304.87152295
1064	6305.92278107
1065	6299.55222373
1066	6303.14034812
1067	6314.48112297
1068	6294.43045031
1069	6300.87509768
1070	6297.90250155
1071	6299.33973651
1072	6297.14794063
1073	6291.06973768
1074	6295.54098657
1075	6292.90884838
1076	6290.21209684
1077	6291.80510424
1078	6293.36092590
1079	6293.82634421
1080	6294.54588089
1081	6298.67825292
1082	6293.35328516
1083	6286.32350054
1084	6293.57226022
1085	6299.34315320
1086	6291.88290766
1087	6301.18495707
1088	6306.38906082
1089	6291.95016590
1090	6304.13480320
1091	6303.16361348
1092	6288.81555992
1093	6294.79491989
1094	6302.33183608
1095	6293.19878068
1096	6297.22948352
1097	6301.72201576
1098	6296.65202070
1099	6302.45044902
1100	6296.61559624
1101	6298.29600739
1102	6293.02565098
1103	6293.62604662
1104	6298.90837726
1105	6303.09743621
1106	6294.58805869
1107	6293.71562889
1108	6303.37806027
1109	6300.88278596
1110	6289.85345862
1111	6291.01243719
1112	6303.08884424
1113	6303.74594371
1114	6290.69318733
1115	6290.26338495
1116	6307.76343804
1117	6302.11686878
1118	6311.58493891
1119	6299.30493281
1120	6313.78734106
1121	6303.46647727
1122	6312.00283104
1123	6307.62070465
1124	6296.73042478
1125	6300.54452069
1126	6307.58994931
1127	6288.61976265
1128	6293.85219640
1129	6294.94284559
1130	6296.73183262
1131	6294.79784051
1132	6286.07527256
1133	6296.41065176
1134	6310.35733626
1135	6297.53017956
1136	6290.11534962
1137	6299.85325567
1138	6290.45514822
1139	6290.95213303
1140	6298.22493904
1141	6305.51952643
1142	6304.78660301
1143	6303.89471494
1144	6297.00273447
1145	6304.47932045
1146	6299.00136971
1147	6303.66399805
1148	6290.93121573
1149	6301.24630720
1150	6316.88509584
1151	6290.62895859
1152	6303.54216235
1153	6295.59525983
1154	6291.45344471
1155	6298.19585194
1156	6301.44939866
1157	6288.83436012
1158	6291.78850240
1159	6293.51553463
1160	6289.06836994
1161	6288.78942127
1162	6292.13762296
1163	6292.28595840
1164	6291.29506599
1165	6295.84171941
1166	6289.50124083
1167	6295.78503674
1168	6299.44654241
1169	6300.49195407
1170	6294.21898916
1171	6301.66985281
1172	6296.41455391
1173	6291.89535358
1174	6296.66291691
1175	6307.88919172
1176	6293.33280680
1177	6312.26759925
1178	6301.73852450
1179	6310.50686217
1180	6304.89119638
1181	6299.32842677
1182	6301.92089822
1183	6289.58269839
1184	6293.10164284
1185	6306.35461069
1186	6294.74987692
1187	6300.99376371
1188	6297.19814789
1189	6295.10345090
1190	6310.29236756
1191	6297.62484417
1192	6303.77124509
1193	6302.58997625
1194	6300.84343616
1195	6300.00499944
1196	6294.57913859
1197	6302.06893562
1198	6289.04165596
1199	6295.82297762
1200	6304.91178843
1201	6304.40591503
1202	6301.84512986
1203	6299.52601739
1204	6302.12404015
1205	6297.94645865
1206	6309.24590167
1207	6292.57129570
1208	6289.79994646
1209	6312.47231589
1210	6289.29338087
1211	6307.75818088
1212	6308.75362543
1213	6297.56980874
1214	6292.31489852
1215	6300.62929618
1216	6289.29924366
1217	6288.44173397
1218	6308.32291790
1219	6300.68713593
1220	6310.17410829
1221	6293.44020853
1222	6301.54228060
1223	6300.17872917
1224	6304.33838944
1225	6294.10802508
1226	6291.45742672
1227	6300.71288496
1228	6299.86660728
1229	6294.42904712
1230	6301.05879435
1231	6304.12232036
1232	6315.53889161
1233	6300.21613713
1234	6302.27787146
1235	6298.29219381
1236	6300.88792257
1237	6293.87922694
1238	6305.78221477
1239	6301.88094832
1240	6298.82069317
1241	6303.96377761
1242	6293.07641289
1243	6291.36075567
1244	6301.02575048
1245	6302.78473168
1246	6301.53043751
1247	6300.28846205
1248	6298.87441112
1249	6301.10816339
1250	6306.49715361
1251	6298.21938695
1252	6313.79206851
1253	6303.55319544
1254	6303.79256601
1255	6298.15986128
1256	6301.13857427
1257	6301.76330373
1258	6313.46198936
1259	6302.89151749
1260	6298.55914193
1261	6296.55248369
1262	6302.71581791
1263	6297.26390489
1264	6309.74034298
1265	6313.66735357
1266	6294.99308948
1267	6307.56737449
1268	6292.55400879
1269	6290.78979812
1270	6287.18133730
1271	6300.29006827
1272	6304.01990430
1273	6284.01034336
1274	6307.15382819
1275	6303.21650924
1276	6302.14727985
1277	6288.86928738
1278	6296.45999406
1279	6297.11779852
1280	6300.26219727
1281	6299.18159664
1282	6296.15862640
1283	6287.85131195
1284	6287.25586825
1285	6295.28896153
1286	6290.27089787
1287	6296.86562695
1288	6287.21468967
1289	6299.61306366
1290	6295.04072889
1291	6295.34302159
1292	6299.06045938
1293	6295.85318173
1294	6297.94569931
1295	6298.85736852
1296	6297.56407630
1297	6291.36864122
1298	6302.80005180
1299	6301.24873188
1300	6291.97385555
1301	6289.73393714
1302	6291.46580655
1303	6294.31170689
1304	6295.10210359
1305	6302.78462673
1306	6302.91797894
1307	6295.00206845
1308	6297.59192784
1309	6295.30461757
1310	6297.45563958
1311	6294.71876545
1312	6299.93271916
1313	6302.24472314
1314	6296.68874483
1315	6302.58471679
1316	6302.00748830
1317	6294.52534652
1318	6298.08237182
1319	6289.47166731
1320	6292.09028556
1321	6302.77706001
1322	6296.89642625
1323	6294.25431549
1324	6304.98277204
1325	6299.05862130
1326	6309.04653676
1327	6298.96100593
1328	6308.51613728
1329	6294.48800119
1330	6296.08734492
1331	6304.50786203
1332	6289.70847972
1333	6292.15640878
1334	6295.14690580
1335	6299.88887110
1336	6308.59154191
1337	6289.30102093
1338	6298.93264426
1339	6309.52239603
1340	6310.65337451
1341	6289.74207527
1342	6296.39490537
1343	6301.58142479
1344	6297.42471686
1345	6299.51440778
1346	6291.85961841
1347	6308.81666324
1348	6306.76988334
1349	6306.14473245
1350	6296.64833536
1351	6297.76095248
1352	6303.81021044
1353	6307.08351713
1354	6288.33426687
1355	6299.31015771
1356	6288.83477210
1357	6298.81518242
1358	6296.48747842
1359	6299.24723130
1360	6300.60076411
1361	6291.36960840
1362	6298.75645933
1363	6299.48668077
1364	6300.77350513
1365	6298.16757682
1366	6295.93051209
1367	6295.37425546
1368	6301.90895308
1369	6299.30983250
1370	6301.99447311
1371	6292.73551257
1372	6299.33853176
1373	6298.48823485
1374	6299.55157711
1375	6289.67509854
1376	6292.13606394
1377	6297.01377992
1378	6291.31390326
1379	6290.07953233
1380	6290.11536404
1381	6286.62629746
1382	6300.19155566
1383	6294.22028937
1384	6293.00262765
1385	6287.32333041
1386	6300.18571574
1387	6286.48611864
1388	6290.79083660
1389	6292.64033981
1390	6292.91087837
1391	6287.11049014
1392	6299.14241717
1393	6289.72401539
1394	6290.60316723
1395	6286.40560998
1396	6292.06867845
1397	6290.85249510
1398	6311.31263931
1399	6290.55016589
1400	6300.46876944
1401	6308.55769166
1402	6297.64336991
1403	6291.46084169
1404	6289.82028144
1405	6297.69061932
1406	6290.30948682
1407	6293.08207947
1408	6298.77860959
1409	6290.84010451
1410	6292.52190493
1411	6301.57864672
1412	6295.65903136
1413	6299.23416624
1414	6301.06536570
1415	6303.59898992
1416	6297.63867254
1417	6305.82764049
1418	6293.88874704
1419	6296.79460146
1420	6292.61755929
1421	6292.61220248
1422	6294.10791668
1423	6296.69030091
1424	6287.79914617
1425	6294.46474201
1426	6298.04080776
1427	6296.24330200
1428	6301.04770116
1429	6299.69346508
1430	6299.42564384
1431	6301.53271025
1432	6296.10485257
1433	6299.75166137
1434	6292.62194981
1435	6295.46100000
1436	6293.43217657
1437	6299.39608469
1438	6295.39899550
1439	6299.81491391
1440	6295.19297505
1441	6305.53402015
1442	6292.96550878
1443	6291.11695975
1444	6311.63012951
1445	6304.37187806
1446	6293.06324320
1447	6286.85696587
1448	6298.96118186
1449	6296.51409583
1450	6307.13225892
1451	6294.11599674
1452	6291.69739574
1453	6305.01898628
1454	6300.39623581
1455	6299.89813575
1456	6304.11518874
1457	6304.72426580
1458	6300.80407325
1459	6310.63749796
1460	6303.28199110
1461	6293.21088961
1462	6296.71264643
1463	6306.70142143
1464	6309.71554375
1465	6292.50739386
1466	6299.75322439
1467	6294.01346223
1468	6299.38402957
1469	6306.54025146
1470	6298.99169941
1471	6293.79314125
1472	6311.15740908
1473	6299.27536684
1474	6297.69205481
1475	6293.69906368
1476	6300.03231553
1477	6299.00432554
1478	6293.95830091
1479	6305.96961160
1480	6298.90070373
1481	6306.39581952
1482	6301.01432229
1483	6296.61604661
1484	6295.95580871
1485	6294.84024340
1486	6304.17079003
1487	6296.77759990
1488	6297.85142585
1489	6291.82995424
1490	6294.85109209
1491	6291.61021823
1492	6287.86421861
1493	6304.78723324
1494	6302.48249658
1495	6304.85088997
1496	6289.88542901
